title,Average Rank of Related,Related_Adaptation,Related_Sequel,Related_Side story,Related_Alternative version,Related_Prequel,Related_Summary,Related_Other,Related_Spin-off,Related_Alternative setting,Related_Character,Related_Parent story,Related_Full story
Inu x Boku SS,1145.5,1,1,0,0,0,0,0,0,0,0,0,0
Seto no Hanayome,1781.75,1,1,1,1,0,0,0,0,0,0,0,0
Shugo Chara!! Doki,2561.0,1,1,0,0,1,0,0,0,0,0,0,0
Princess Tutu,2278.5,1,0,0,0,0,1,0,0,0,0,0,0
Bakuman. 3rd Season,1450.75,1,0,0,0,2,0,1,0,0,0,0,0
Yume-iro Pâtissière,1332.0,1,1,1,0,0,0,0,0,0,0,0,0
Ultra Maniac,3513.0,1,0,0,1,0,0,0,0,0,0,0,0
Shakugan no Shana II (Second),2333.4,1,1,0,0,1,0,0,2,0,0,0,0
Nodame Cantabile: Paris-hen,502.4,1,1,1,0,1,0,1,0,0,0,0,0
Ouran Koukou Host Club,205.0,1,0,0,0,0,0,0,0,0,0,0,0
Junjou Romantica 2,527.6666666666666,1,1,0,0,1,0,0,0,0,0,0,0
Kaichou wa Maid-sama!,1250.6666666666667,1,0,2,0,0,0,0,0,0,0,0,0
Sekaiichi Hatsukoi 2,156.33333333333334,2,0,0,0,1,0,0,0,0,0,0,0
Tonari no Kaibutsu-kun,1880.0,1,0,0,0,0,0,0,0,1,0,0,0
Bleach,2155.25,1,0,7,0,0,0,0,0,0,0,0,0
Chobits,2723.6666666666665,1,0,1,0,0,1,0,0,0,0,0,0
Kimi ni Todoke,1128.6666666666667,1,1,0,0,0,1,0,0,0,0,0,0
Naruto: Shippuuden,1110.6666666666667,3,2,8,0,1,0,2,2,0,0,0,0
Ranma ½,1087.0,1,1,4,0,0,0,6,0,0,0,0,0
Toradora!,2223.0,1,0,2,0,0,1,0,0,0,0,0,0
Bakuman. 2nd Season,1376.2,1,1,0,0,1,1,1,0,0,0,0,0
Gakuen Alice,941.0,1,0,0,0,0,0,0,0,0,0,0,0
Skip Beat!,282.0,1,0,0,0,0,0,0,0,0,0,0,0
Chihayafuru 2,1239.6666666666667,1,1,0,0,1,0,0,0,0,0,0,0
Shounen Onmyouji,1158.0,1,0,0,0,0,0,0,0,0,0,0,0
Chihayafuru,181.0,1,1,0,0,0,0,0,0,0,0,0,0
Itazura na Kiss,1108.0,1,0,0,0,0,0,0,0,0,0,0,0
Beelzebub,1505.0,1,0,0,1,0,0,1,0,0,0,0,0
Hanasakeru Seishounen,2281.5,1,0,0,0,0,1,0,0,0,0,0,0
SKET Dance,1740.8,1,0,1,0,0,1,1,0,0,1,0,0
B-gata H-kei,3193.0,1,0,0,0,0,0,0,0,0,0,0,0
Fruits Basket,939.0,1,0,0,0,0,0,0,0,0,0,0,0
Saiunkoku Monogatari,971.6666666666666,1,1,0,0,0,1,0,0,0,0,0,0
Glass no Kamen (2005),3978.6666666666665,1,0,0,2,0,0,3,0,0,0,0,0
