title,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,studio,aired_from,aired_to,year,start_season,date_aired,duration_minutes,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,NA,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,Average Rank of Related,Adaptation,Sequel,Side story,Alternative version,Prequel,Summary,Other,Spin-off,Alternative setting,Character,Parent story,Full story
Inu x Boku SS,TV,Manga,12.0,Finished Airing,False,PG-13 - Teens 13 or older,7.63,139250.0,1274.0,231.0,283882.0,2809.0,SmallStudio,2012-01-13 00:00:00,2012-03-30 00:00:00,2012.0,Winter,77 days 00:00:00,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1145.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seto no Hanayome,TV,Manga,26.0,Finished Airing,False,PG-13 - Teens 13 or older,7.89,91206.0,727.0,366.0,204003.0,2579.0,Gonzo,2007-04-02 00:00:00,2007-10-01 00:00:00,2007.0,Spring,182 days 00:00:00,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shugo Chara!! Doki,TV,Manga,51.0,Finished Airing,False,PG - Children,7.55,37129.0,1508.0,1173.0,70127.0,802.0,Satelight,2008-10-04 00:00:00,2009-09-25 00:00:00,2008.0,Fall,356 days 00:00:00,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Princess Tutu,TV,Original,38.0,Finished Airing,False,PG-13 - Teens 13 or older,8.21,36501.0,307.0,916.0,93312.0,3344.0,SmallStudio,2002-08-16 00:00:00,2003-05-23 00:00:00,2002.0,Summer,280 days 00:00:00,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2278.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakuman. 3rd Season,TV,Manga,25.0,Finished Airing,False,PG-13 - Teens 13 or older,8.67,107767.0,50.0,426.0,182765.0,2082.0,J.C.Staff,2012-10-06 00:00:00,2013-03-30 00:00:00,2012.0,Fall,175 days 00:00:00,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.75,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Yume-iro Pâtissière,TV,Manga,50.0,Finished Airing,False,G - All Ages,8.03,21618.0,526.0,1630.0,45625.0,826.0,SmallStudio,2009-10-04 00:00:00,2010-09-26 00:00:00,2009.0,Fall,357 days 00:00:00,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ultra Maniac,TV,Manga,26.0,Finished Airing,False,G - All Ages,7.26,9663.0,2594.0,2490.0,22778.0,122.0,Production Reed,2003-05-20 00:00:00,2003-11-11 00:00:00,2003.0,Spring,175 days 00:00:00,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3513.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakugan no Shana II (Second),TV,Light novel,24.0,Finished Airing,False,PG-13 - Teens 13 or older,7.72,126085.0,1066.0,332.0,220591.0,1075.0,J.C.Staff,2007-10-05 00:00:00,2008-03-28 00:00:00,2007.0,Fall,175 days 00:00:00,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2333.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Nodame Cantabile: Paris-hen,TV,Manga,11.0,Finished Airing,False,PG-13 - Teens 13 or older,8.24,53908.0,281.0,988.0,85660.0,282.0,J.C.Staff,2008-10-10 00:00:00,2008-12-19 00:00:00,2008.0,Fall,70 days 00:00:00,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ouran Koukou Host Club,TV,Manga,26.0,Finished Airing,False,PG-13 - Teens 13 or older,8.34,335137.0,205.0,69.0,538843.0,24072.0,Bones,2006-04-05 00:00:00,2006-09-27 00:00:00,2006.0,Spring,175 days 00:00:00,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
