title,source,episodes,rating,rank,studio,year,start_season,days_aired,duration_minutes,Genre_Action,Genre_Adventure,Genre_Cars,Genre_Comedy,Genre_Dementia,Genre_Demons,Genre_Drama,Genre_Ecchi,Genre_Fantasy,Genre_Game,Genre_Harem,Genre_Hentai,Genre_Historical,Genre_Horror,Genre_Josei,Genre_Kids,Genre_Magic,Genre_Martial Arts,Genre_Mecha,Genre_Military,Genre_Music,Genre_Mystery,Genre_NA,Genre_Parody,Genre_Police,Genre_Psychological,Genre_Romance,Genre_Samurai,Genre_School,Genre_Sci-Fi,Genre_Seinen,Genre_Shoujo,Genre_Shoujo Ai,Genre_Shounen,Genre_Shounen Ai,Genre_Slice of Life,Genre_Space,Genre_Sports,Genre_Super Power,Genre_Supernatural,Genre_Thriller,Genre_Vampire,Genre_Yaoi,Genre_Yuri,Average Rank of Related,Related_Adaptation,Related_Sequel,Related_Side story,Related_Alternative version,Related_Prequel,Related_Summary,Related_Other,Related_Spin-off,Related_Alternative setting,Related_Character,Related_Parent story,Related_Full story,success
Inu x Boku SS,Manga,12,PG-13 - Teens 13 or older,1274.0,SmallStudio,2012,Winter,78,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1145.5,1,1,0,0,0,0,0,0,0,0,0,0,1
Seto no Hanayome,Manga,26,PG-13 - Teens 13 or older,727.0,Gonzo,2007,Spring,183,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2507.75,1,1,1,1,0,0,0,0,0,0,0,0,1
Shugo Chara!! Doki,Manga,51,PG - Children,1508.0,Satelight,2008,Fall,357,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2561.0,1,1,0,0,1,0,0,0,0,0,0,0,1
Princess Tutu,Original,38,PG-13 - Teens 13 or older,307.0,SmallStudio,2002,Summer,281,16.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278.5,1,0,0,0,0,1,0,0,0,0,0,0,1
Bakuman. 3rd Season,Manga,25,PG-13 - Teens 13 or older,50.0,J.C.Staff,2012,Fall,176,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1450.75,1,0,0,0,2,0,1,0,0,0,0,0,1
Yume-iro Pâtissière,Manga,50,G - All Ages,526.0,SmallStudio,2009,Fall,358,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1332.0,1,1,1,0,0,0,0,0,0,0,0,0,4
Ultra Maniac,Manga,26,G - All Ages,2594.0,Production Reed,2003,Spring,176,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3513.0,1,0,0,1,0,0,0,0,0,0,0,0,2
Shakugan no Shana II (Second),Light novel,24,PG-13 - Teens 13 or older,1066.0,J.C.Staff,2007,Fall,176,24.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2333.4,1,1,0,0,1,0,0,2,0,0,0,0,1
Nodame Cantabile: Paris-hen,Manga,11,PG-13 - Teens 13 or older,281.0,J.C.Staff,2008,Fall,71,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,502.4,1,1,1,0,1,0,1,0,0,0,0,0,1
Ouran Koukou Host Club,Manga,26,PG-13 - Teens 13 or older,205.0,Bones,2006,Spring,176,23.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Junjou Romantica 2,Manga,12,PG-13 - Teens 13 or older,374.0,Studio Deen,2008,Fall,78,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,527.6666666666666,1,1,0,0,1,0,0,0,0,0,0,0,1
Kaichou wa Maid-sama!,Manga,26,PG-13 - Teens 13 or older,314.0,J.C.Staff,2010,Spring,176,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1250.6666666666667,1,0,2,0,0,0,0,0,0,0,0,0,1
Sekaiichi Hatsukoi 2,Manga,12,PG-13 - Teens 13 or older,288.0,Studio Deen,2011,Fall,78,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,156.33333333333334,2,0,0,0,1,0,0,0,0,0,0,0,1
Tonari no Kaibutsu-kun,Manga,13,PG-13 - Teens 13 or older,1093.0,Brain&#039;s Base,2012,Fall,85,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1880.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Bleach,Manga,366,PG-13 - Teens 13 or older,693.0,Studio Pierrot,2004,Fall,2731,24.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2155.25,1,0,7,0,0,0,0,0,0,0,0,0,1
Chobits,Manga,26,PG-13 - Teens 13 or older,1546.0,Madhouse,2002,Spring,176,24.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2723.6666666666665,1,0,1,0,0,1,0,0,0,0,0,0,1
Kimi ni Todoke,Manga,25,PG-13 - Teens 13 or older,400.0,Production I.G,2009,Fall,176,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1128.6666666666667,1,1,0,0,0,1,0,0,0,0,0,0,1
Naruto: Shippuuden,Manga,500,PG-13 - Teens 13 or older,337.0,Studio Pierrot,2007,Winter,3690,23.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1110.6666666666667,3,2,8,0,1,0,2,2,0,0,0,0,1
